"Week", "Week Ending", "State", "Season", "Total", "Lab", "Visits", "Hospitalizations"
2,"January 8-14, ",CA,"77","77",N/A,N/A
3,"January 15-21, ",CA,"120","120",N/A,N/A
4,"January 22-28, 2012",CA,"219","219",N/A,N/A
5,"January 29-February 4, 2012",CA,"270","270",N/A,N/A
6,"February 5-11, 2012",CA,"316","316",N/A,N/A
7,"February 12-18, 2012",CA,"377","377",N/A,N/A
8,"February 19-25, 2012",CA,"467","467",N/A,N/A
9,"February 26-March 3, 2012",CA,"467","467",N/A,N/A
10,"March 4 - 10, 2012",CA,"509","509",N/A,N/A
11,"March 11 - 17, 2012",CA,"649","649",N/A,N/A
12,"March 18 - 24, 2012",CA,"646","646",N/A,N/A
13,"March 25 - 31, 2012",CA,"530","530",N/A,N/A
14,"April 1-7, 2012",CA,"648","648",N/A,N/A
15,"April 8-14, 2012",CA,"365","365",N/A,N/A
16,"April 15-21, 2012",CA,"334","334",N/A,N/A
17,"April 22-28, 2012",CA,"164","164",N/A,N/A
18,"April 29-May 5, 2012",CA,"152","152",N/A,N/A
19,"May 6-12, 2012",CA,"48","48",N/A,N/A
20,"May 13-19, 2012",CA,"35","35",N/A,N/A
43,"October 21–27, 2012",CA,"8","8",N/A,N/A
44,"October 28–November 3, 2012",CA,"8","8",N/A,N/A
45,"November 4–10, 2012",CA,"8","8",N/A,N/A
48,"November 25–December 1, 2012",CA,"22","22",N/A,N/A
49,"December 2–December 8, 2012",CA,"36","36",N/A,N/A
50,"December 9–December 15, 2012",CA,"50","50",N/A,N/A
51,"December 16–December 29, 2012",CA,"293","293",N/A,N/A
1,"December 30, 2012–January 5, 2013",CA,"339","339",N/A,N/A
2,"January 6–12, 2013",CA,"639","639",N/A,N/A
3,"January 13–19, 2013",CA,"1108","1108",N/A,N/A
4,"January 20–26, 2013",CA,"1536","1536",N/A,N/A
5,"January 27–February 2, 2013",CA,"1785","1785",N/A,N/A
6,"February 3–February 9, 2013",CA,"1223","1223",N/A,N/A
7,"February 10–16, 2013",CA,"880","880",N/A,N/A
8,"February 17–23, 2013",CA,"748","748",N/A,N/A
9,"February 24–March 2, 2013",CA,"652","652",N/A,N/A
10,"March 3–9, 2013",CA,"519","519",N/A,N/A
11,"March 10–16, 2013",CA,"278","278",N/A,N/A
12,"March 17–23, 2013",CA,"176","176",N/A,N/A
13,"March 24–30, 2013",CA,"92","92",N/A,N/A
14,"March 31–April 6, 2013",CA,"72","72",N/A,N/A
15,"April 7–13, 2013",CA,could not retrieve,could not retrieve,N/A,N/A
16,"April 14–20, 2013",CA,could not retrieve,could not retrieve,N/A,N/A
42,"October 19, 2013",CA,"12","12",N/A,N/A
could not retrieve,"could not retrieve",CA,could not retrieve,could not retrieve,N/A,N/A
44,"November 2, 2013",CA,"12","12",N/A,N/A
45,"November 9, 2013",CA,"11","11",N/A,N/A
could not retrieve,"could not retrieve",CA,could not retrieve,could not retrieve,N/A,N/A
48,"November 30, 2013",CA,"28","28",N/A,N/A
49,"December 7, 2013",CA,"58","58",N/A,N/A
50,"December 14, 2013",CA,could not retrieve,could not retrieve,N/A,N/A
52,"December 28, 2013",CA,could not retrieve,could not retrieve,N/A,N/A
1,"January 4, 2014",CA,"85","85",N/A,N/A
2,"January 11, 2014",CA,"1,463","1,463",N/A,N/A
3,"January 18, 2014",CA,"1,389","1,389",N/A,N/A
4,"January 25, 2014",CA,"1,493","1,493",N/A,N/A
5,"February 1, 2014",CA,"1,211","1,211",N/A,N/A
6,"February 8, 2014",CA,"848","848",N/A,N/A
7,"February 15, 2014",CA,"396","396",N/A,N/A
8,"February 22, 2014",CA,"165","165",N/A,N/A
9,"March 1, 2014",CA,"122","122",N/A,N/A
10,"March 8, 2014",CA,"70","70",N/A,N/A
11,"March 15, 2014",CA,"54","54",N/A,N/A
41,"October 11, 2014",CA,"9","9",N/A,N/A
42,"October 18, 2014",CA,"16","16",N/A,N/A
43,"October 25, 2014",CA,"16","16",N/A,N/A
44,"November 1, 2014",CA,"44","44",N/A,N/A
45,"November 8, 2014",CA,"23","23",N/A,N/A
46,"November 15, 2014",CA,"24","24",N/A,N/A
48,"November 29, 2014",CA,"57","57",N/A,N/A
49,"December 6, 2014",CA,"132","132",N/A,N/A
50,"December 13, 2014",CA,"246","246",N/A,N/A
53,"January 3, 2015",CA,"636","636",N/A,N/A
1,"January 10, 2015",CA,"1161","1161",N/A,N/A
2,"January 17, 2015",CA,"1376","1376",N/A,N/A
3,"January 24, 2015",CA,"1439","1439",N/A,N/A
4,"January 31, 2015",CA,"1322","1322",N/A,N/A
5,"February 7, 2015",CA,"1429","1429",N/A,N/A
6,"February 14, 2015",CA,"791","791",N/A,N/A
7,"February 21, 2015",CA,"541","541",N/A,N/A
