"Week", "Week Ending", "State", "Season", "Total", "Lab", "Visits", "Hospitalizations"
Week 10 ,"March 11, 2017  ",DC,2016-2017,could not retrieve,114,225,N/A
Week 11 ,"March 18, 2017  ",DC,2016-2017,could not retrieve,112,185,N/A
Week 12 ,"March 25, 2017  ",DC,2016-2017,could not retrieve,98,239,N/A
Week 13 ,"April 1, 2017  ",DC,2016-2017,could not retrieve,109,207,N/A
Week 14 ,"April 8, 2017  ",DC,2016-2017,could not retrieve,70,199,N/A
Week 15 ,"April 15, 2017  ",DC,2016-2017,could not retrieve,26,1,N/A
Week 16 ,"April 22, 2017  ",DC,2016-2017,could not retrieve,29,121,N/A
Week 17 ,"April 29, 2017  ",DC,2016-2017,could not retrieve,20,0,N/A
Week 18 ,"May 6, 2017  ",DC,2016-2017,could not retrieve,7,132,N/A
Week 19 ,"May 13, 2017  ",DC,2016-2017,could not retrieve,5,75,N/A
Week 1 ,"January 7, 2017  ",DC,2016-2017,could not retrieve,36,142,N/A
Week 2 ,"January 14, 2017  ",DC,2016-2017,could not retrieve,67,210,N/A
Week 3 ,"January 21, 2017  ",DC,2016-2017,could not retrieve,53,87,N/A
Week 41 ,"October 15, 2016  ",DC,2016-2017,could not retrieve,2,140,N/A
Week 42 ,"October 22, 2016  ",DC,2016-2017,could not retrieve,4,3,N/A
Week 43 ,"October 29, 2016  ",DC,2016-2017,could not retrieve,5,161,N/A
Week 44 ,"November 5, 2016  ",DC,2016-2017,could not retrieve,5,133,N/A
Week 45 ,"November 12, 2016  ",DC,2016-2017,could not retrieve,4,139,N/A
Week 46 ,"November 19, 2016  ",DC,2016-2017,could not retrieve,6,135,N/A
Week 47 ,"November 26, 2016  ",DC,2016-2017,could not retrieve,7,92,N/A
Week 48 ,"December 3, 2016  ",DC,2016-2017,could not retrieve,7,195,N/A
Week 49 ,"December 10, 2016  ",DC,2016-2017,could not retrieve,13,could not retrieve,N/A
Week 4 ,"January 28, 2017  ",DC,2016-2017,could not retrieve,86,295,N/A
Week 50 ,"December 17, 2016  ",DC,2016-2017,could not retrieve,15,216,N/A
Week 51 ,"December 24, 2016  ",DC,2016-2017,could not retrieve,29,159,N/A
Week 52 ,"December 31, 2016  ",DC,2016-2017,could not retrieve,53,106,N/A
Week 5 ,"February 4, 2017  ",DC,2016-2017,could not retrieve,128,247,N/A
Week 6 ,"February 11, 2017  ",DC,2016-2017,could not retrieve,165,247,N/A
Week 7 ,"February 18, 2017  ",DC,2016-2017,could not retrieve,175,196,N/A
Week 8 ,"February 25, 2017  ",DC,2016-2017,could not retrieve,207,153,N/A
Week 9 ,"March 4, 2017  ",DC,2016-2017,could not retrieve,115,206,N/A
