"Week", "Week Ending", "State", "Season", "Total", "Lab", "Visits", "Hospitalizations"
could not retrieve,"October 15, 2016 ",NY,2016-2017,72,56,N/A,16
could not retrieve,"October 22, 2016 ",NY,2016-2017,75,51,N/A,24
could not retrieve,"October 29, 2016 ",NY,2016-2017,73,50,N/A,23
could not retrieve,"November 5, 2016 ",NY,2016-2017,122,94,N/A,28
could not retrieve,"November 12, 2016 ",NY,2016-2017,115,77,N/A,38
could not retrieve,"November 19, 2016 ",NY,2016-2017,176,114,N/A,62
could not retrieve,"November 26, 2016 ",NY,2016-2017,243,175,N/A,68
could not retrieve,"December 3, 2016 ",NY,2016-2017,371,273,N/A,98
could not retrieve,"December 10, 2016 ",NY,2016-2017,446,351,N/A,95
could not retrieve,"December 17, 2016 ",NY,2016-2017,764,602,N/A,162
could not retrieve,"December 24, 2016 ",NY,2016-2017,1733,1460,N/A,273
could not retrieve,"December 31, 2016 ",NY,2016-2017,3629,2784,N/A,845
could not retrieve,"January 7, 2017 ",NY,2016-2017,3788,3015,N/A,773
could not retrieve,"January 14, 2017 ",NY,2016-2017,4255,3392,N/A,863
could not retrieve,"January 21, 2017 ",NY,2016-2017,5231,4350,N/A,881
could not retrieve,"January 28, 2017 ",NY,2016-2017,6196,5235,N/A,961
could not retrieve,"February 4, 2017 ",NY,2016-2017,6250,5337,N/A,913
could not retrieve,"February 11, 2017 ",NY,2016-2017,6083,6082,N/A,1
could not retrieve,"February 18, 2017 ",NY,2016-2017,6438,5575,N/A,863
could not retrieve,"February 25, 2017 ",NY,2016-2017,6145,5217,N/A,928
could not retrieve,"March 4, 2017 ",NY,2016-2017,3681,3129,N/A,552
could not retrieve,"March 11, 2017 ",NY,2016-2017,2679,2295,N/A,384
could not retrieve,"March 18, 2017 ",NY,2016-2017,2366,2006,N/A,360
could not retrieve,"March 25, 2017 ",NY,2016-2017,2750,2360,N/A,390
could not retrieve,"April 1, 2017 ",NY,2016-2017,2998,2613,N/A,385
could not retrieve,"April 8, 2017 ",NY,2016-2017,3159,2794,N/A,365
could not retrieve,"April 15, 2017 ",NY,2016-2017,2620,2220,N/A,400
could not retrieve,"April 22, 2017 ",NY,2016-2017,1652,1393,N/A,259
could not retrieve,"April 29, 2017 ",NY,2016-2017,920,783,N/A,137
could not retrieve,"May 6, 2017 ",NY,2016-2017,516,430,N/A,86
could not retrieve,"May 13, 2017 ",NY,2016-2017,295,247,N/A,48
